CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Churn
CUST00000,Male,68,0,11289.59,3,0,0,101608.76,Spain,0
CUST00001,Female,57,4,19255.62,1,1,0,55266.09,Spain,0
CUST00002,Male,24,6,197187.37,2,0,1,140531.05,France,0
CUST00003,Male,49,0,205869.09,3,1,0,114671.06,Germany,0
CUST00004,Male,65,1,169572.44,4,0,0,73395.89,Spain,1
CUST00005,Female,36,8,209767.14,2,1,0,73628.68,Spain,0
CUST00006,Male,23,2,179871.87,1,0,1,149430.0,Spain,0
CUST00007,Male,37,5,224233.66,2,0,1,62319.27,Spain,0
CUST00008,Male,44,6,37599.57,4,1,0,23171.29,Germany,1
CUST00009,Female,60,8,96935.38,4,0,0,85398.61,France,0
CUST00010,Male,54,4,116027.7,4,1,1,133879.57,France,0
CUST00011,Male,65,3,74415.95,2,1,0,91832.77,Spain,0
CUST00012,Male,24,1,181341.61,2,1,0,121032.25,France,1
CUST00013,Male,22,2,228109.7,2,1,0,17681.06,Spain,0
CUST00014,Female,28,4,103120.55,1,1,1,104275.26,Spain,0
CUST00015,Male,32,1,235385.49,3,1,1,21087.18,Germany,0
CUST00016,Female,20,3,129192.23,2,0,1,87889.94,France,0
CUST00017,Female,22,0,130628.91,1,0,0,79687.44,France,0
CUST00018,Female,40,3,150054.89,4,0,0,142384.62,Spain,1
CUST00019,Male,54,6,67082.77,2,0,1,28545.02,Germany,0
CUST00020,Female,26,2,95840.13,2,0,0,11328.8,Spain,1
CUST00021,Male,32,9,138309.36,2,0,1,29229.67,Germany,1
CUST00022,Female,20,7,235495.72,1,1,0,33898.86,France,0
CUST00023,Female,46,5,160673.14,2,1,1,45127.61,Germany,0
CUST00024,Female,23,5,83279.14,2,1,1,124112.43,France,0
CUST00025,Female,34,0,2617.14,3,0,1,62763.32,France,0
CUST00026,Female,43,4,245416.41,1,1,0,127706.06,France,0
CUST00027,Female,38,2,123246.14,3,1,0,48070.74,Spain,0
CUST00028,Female,25,9,234623.79,3,1,1,130475.76,Spain,0
